Site,Category,Google hits,FB likes,Twitter,political alignment
100PercentFedUp,clickbait  ,"137,000.00","1,005,880","11,600",right
21st Century Wire,conspiracy  ,"161,000.00","21,096",0,right
369News,conspiracy  ,"37,400.00","5,866","1,441",right
70news,clickbait  ,"257,000.00",0,0,right
A Sheep No More,conspiracy  ,"219,000.00","256,066",901,unknown
Abcnews.com.co,fake news,"11,100,000.00",0,0,right
Accuracy in Media (AIM),clickbait  ,"244,000.00","11,836","22,400",right
ACN Latitudes,junk science,"27,600.00","1,611","26,500",Unknow
ActivistPost,clickbait  ,"571,000.00","542,095","23,700",left
Addicting Info,clickbait  ,"616,000.00","1,231,596","21,300",left
AdwNews,conspiracy  ,"13,400.00","1,762","4,375",unknown
Age of Autism,junk science,"344,000.00","16,663","33,000",right
Allen B. West,clickbait  ,"232,000.00","1,324,011","586,000",right
Allen West Republic,clickbait  ,"249,000.00","752,172","23,400",right
Alt Health Works,junk science,"91,900.00","154,882","1,253",right
Alternet,clickbait  ,"2,560,000.00","926,893","122,000",left
Amandla! Media,clickbait  ,"2,210,000.00","5,443","1,668",left
AmericaBlog,clickbait  ,"623,000.00","10,205","15,600",left
American Enterprise Institute,clickbait  ,"605,000.00","272,972","67,200",right
American Free Press,conspiracy  ,"225,000.00","2,161",0,right
American Freedom Fighters,clickbait  ,"73,600.00","445,053","5,296",right
American Lookout,clickbait  ,"21,500,000.00",0,"1,409",right
American News,conspiracy  ,"4,530,000.00","5,483,682",0,right
American News X,clickbait  ,"40,100.00","234,298","1,368",left
American Renaissance,clickbait  ,"3,330,000.00","5,471","15,000",right
American Spectator,clickbait  ,"651,000.00","109,303","33,700",right
American Thinker,clickbait  ,"844,000.00","111,814","35,300",right
American Updater,clickbait  ,"397,000.00",0,0,right
Americans for Prosperity,clickbait  ,"417,000.00","1,116,622","130,000",right
AmplifyingGlass,clickbait  ,"26,200.00","23,142","1,562",none
AnonNews,,"123,000.00","35,668","103,000",left
Another Day in the Empire,conspiracy  ,"8,070.00",315,"9,670",right
Answers in Genesis,hate,"492,000.00","436,923","46,500",right
Anti-War,conspiracy  ,"26,100,000.00","64,690","33,000",left
Awareness Act,conspiracy  ,"395,000.00","958,410",176,Unknow
Baltimore Gazette,NA,"475,000.00",0,0,Unknow
Baptist News Global,clickbait  ,"24,300.00","6,389","5,836",right
Bare Naked Islam,,"330,000.00","2,608","16,900",right
Bay Area Reporter,clickbait  ,"127,000.00","11,104","3,105",left
BB4SP,clickbait  ,"159,000.00","182,644","103,000",right
Before It’s News,conspiracy  ,"2,570,000.00","393,557","62,900",Unknow
Big Blue Vision,clickbait  ,"7,120.00","15,084",0,right
Big Government News,clickbait  ,"28,900,000.00",0,0,right
BigPZone aka therundownlive aka wearechange,clickbait  ,"15,200.00",0,859,right
